No,Vehicle_owner,Contact_number,Licence_Plate_Number,Register_Vehicle_Type,Register_Vehicle_Brand,Register_Vehicle_Colour,Road_tax_exp_date,Message
40,owner 40,conatct 40,WB7652S,car,Proton,black,9/2/2025,
41,owner 41,conatct 41,MAG1100,car,Mitsubishi,silver,10/2/2025,
42,owner 42,conatct 42,WEV8642,car,Nissan,silver,11/2/2025,
43,owner 43,conatct 43,BEW9630,car,Toyota,,12/2/2025,
44,owner 44,conatct 44,MBM4000,car,suzuki,tan,13/2/2025,
45,owner 45,conatct 45,RAK6152,car,Proton,white,14/2/2025,
46,owner 46,conatct 46,JON623,truck,JAC,white,15/2/2025,
47,owner 47,conatct 47,QM5675L,car,Perodua,silver,16/2/2025,
48,owner 48,conatct 48,DEP2910,car,Perodua,white,17/2/2025,
49,owner 49,conatct 49,QCN2108,car,Toyota,blue,18/2/2025,
50,owner 50,conatct 50,WLR808,car,Toyota,tan,19/2/2025,
51,owner 51,conatct 51,MBH8879,truck,Hicom,red,20/2/2025,
52,owner 52,conatct 52,VBT7855,car,bmw,white,21/2/2025,
53,owner 53,conatct 53,MBH3766,car,Perodua,silver,22/2/2025,
54,owner 54,conatct 54,QCG3772,car,Toyota,black,23/2/2025,
55,owner 55,conatct 55,MDT4013,car,Proton,black,24/2/2025,
56,owner 56,conatct 56,JSL8260,car,Perodua,silver,25/2/2025,
57,owner 57,conatct 57,VEU5113,car,Perodua,silver,26/2/2025,
58,owner 58,conatct 58,MCK6626,car,Nissan,silver,27/2/2025,
59,owner 59,conatct 59,MCD980,car,Proton,grey,28/2/2025,
60,owner 60,conatct 60,WVM6456,car,Perodua,black,1/3/2025,
61,owner 61,conatct 61,MBH1682,car,Toyota,black,2/3/2025,
62,owner 62,conatct 62,MDQ2018,car,Proton,red,3/3/2025,
63,owner 63,conatct 63,JJP2657,car,Perodua,grey,4/3/2025,
64,owner 64,conatct 64,MDT1734,car,Proton,red,5/3/2025,
65,owner 65,conatct 65,MBE9733,car,Perodua,grey,6/3/2025,
66,owner 66,conatct 66,MCQ3713,car,Toyota,white,7/3/2025,
67,owner 67,conatct 67,MW7873,car,,white,8/3/2025,
68,owner 68,conatct 68,RAM2828,car,Proton,,9/3/2025,
69,owner 69,conatct 69,MCV2730,car,Perodua,blue,10/3/2025,
70,owner 70,conatct 70,MAS232,car,Proton,green,11/3/2025,
71,owner 71,conatct 71,MCM633,car,Mercedes,black,12/3/2025,
72,owner 72,conatct 72,VAT3111,car,Toyota,white,13/3/2025,
73,owner 73,conatct 73,VLK6846,car,Proton,silver,14/3/2025,
74,owner 74,conatct 74,MDN6683,car,Volkswagen,silver,15/3/2025,
75,owner 75,conatct 75,JMC2108,car,Toyota,silver,16/3/2025,
76,owner 76,conatct 76,MDL8201,car,Proton,grey,17/3/2025,
77,owner 77,conatct 77,MDL5152,car,Proton,grey,18/3/2025,
78,owner 78,conatct 78,MBV9507,car,,silver,19/3/2025,
79,owner 79,conatct 79,MBX8326,car,Perodua,grey,20/3/2025,
80,owner 80,conatct 80,MDC8232,car,Perodua,silver,21/3/2025,
81,owner 81,conatct 81,MCW1916,car,bmw,white,22/3/2025,
82,owner 82,conatct 82,MDT2026,car,Toyota,white,23/3/2025,
83,owner 83,conatct 83,JPW3384,car,Nissan,grey,24/3/2025,
84,owner 84,conatct 84,MDN6861,car,Honda,white,25/3/2025,
85,owner 85,conatct 85,MBE620,car,Proton,white,26/3/2025,
86,owner 86,conatct 86,MDC53,car,Honda,black,27/3/2025,
87,owner 87,conatct 87,MCU3355,car,Honda,white,28/3/2025,
88,owner 88,conatct 88,MDB7721,car,Proton,black,29/3/2025,
